Content,NB_Emotion_Predicted,SVM_Emotion_Predicted,KNN_Emotion_Predicted,Emotion_Actual
kid the pool yell about get foot his ass shutup parent kid,fear,fear,fear,fear
They will formidable challenge Roy Hodgson Northampton Town shudder,fear,fear,sadness,fear
JackEvans711 you the best Whiney Jerkass Heel since heyday WCW LuchaUnderground,joy,joy,joy,joy
reach 100 subscribers happy goodday thankful,joy,joy,fear,joy
like that she not mop around all the episode She have moment emotional weakness felt sorry about,joy,fear,sadness,sadness
depression saddness afterellen shitsucks,sadness,sadness,sadness,sadness
weekend fall let see can stay discipline this season goals fitness run sober Mindset firstfriday family,sadness,sadness,sadness,sadness
fuck boil and not,anger,anger,anger,anger
CazuaL_WeaR look like book shape like gun optimism itsagunalright,joy,joy,joy,joy
Hails_Berry8 varsity pine rid,sadness,sadness,sadness,sadness
sorry about your loss one should ever give you shit for take your time mourn matter how long take,sadness,fear,fear,sadness
one those angry days will have stop watch news,fear,anger,joy,anger
Atlanta this Rockies and DBacks this That combine atrocious team,joy,anger,joy,fear
break tooth for long now have abscess Need dentist but fear make hard for and still can dentist,fear,fear,fear,fear
question you get Twitter make you want despair batter complain but aren convince things could better,fear,fear,fear,sadness
wan really out but can say Deffo have fear miss out,fear,fear,fear,fear
say lover pale green light nhe hover high where the moon shin bright,sadness,joy,joy,joy
think wouldn have deal with that fire alarm again today and then step into Mesa during their fire drillðŸ,fear,fear,fear,fear
doubt smile the best medicine ŠðŸ ŠðŸ,joy,joy,fear,joy
Watch this amaze live broadcast musically,joy,joy,joy,joy
nearly aesthetically please enough lol need this and not phone,joy,joy,joy,joy
have sleep cooties close eye and dream that awake weary sleepissues narcolepsy,sadness,sadness,fear,sadness
The irony that those protest about this kind stuff the Orwellian nightmare they think theyâ fight against,fear,fear,fear,fear
hmm you may have point think Twitter have get dull LAMINATION,sadness,sadness,sadness,sadness
This the most grim piece laughter stricken with all day,joy,joy,sadness,sadness
will the weeks full Mondays end,sadness,sadness,fear,sadness
over week until start new job Looking forward and cacking myself the same time,fear,fear,fear,fear
AMB4JC our job the job people who still sane still life help the lose find themselves amp love eachother,sadness,sadness,joy,sadness
sorry This heartbreaking and scary can happen there can happen anywhere Please safe,fear,fear,fear,fear
ain that serious HOUvsNE awful igotbetterthingstodotonightthandie,fear,fear,fear,fear
not nervouswreck pileup GoingCrazy HelpMe Insane Antisocial,fear,fear,fear,fear
friends send ballons and fireworks through text amaze smile,joy,joy,fear,joy
shabazz name phone easy breezy beautiful amp will not apologize,joy,joy,joy,joy
tear MLC play football Knees serious business Take care them Lem know you need anything,sadness,sadness,sadness,sadness
you could leap your feet dramatically plant one foot the seat your chair and let out that jaunty tune,sadness,fear,sadness,joy
LordÂ turn his face toward you and give you peace Numbers truth trust promise calm justice great mighty protect,joy,joy,fear,joy
Last product buy promise Absolutely terrible CustomerService,fear,fear,fear,fear
this Laughing while cry work too katherinemansfield failure laughter dealingwithfailure,joy,joy,fear,joy
kylemuir17 Ealvarezfight danawhite defend his belt against aldo after its not that hard grudge hold bitch,anger,anger,anger,anger
say should bore bore with but not bore rule cheerfully ignore,joy,fear,fear,joy
more aesthetically please than your fave,joy,joy,fear,joy
would like know about the source The President optimism about run the country wonder can answer curiosity,fear,fear,fear,joy
tfw you route your future come for openhouse futurecantor exhilarate NYCletsgo,joy,joy,joy,joy
save him after order him risk his life didn panic but stay calm and rescue him,fear,fear,fear,fear
great train course lot photos fun and laughter Photo will soon Boostercourse fun,joy,joy,joy,joy
sad song prefect night feel alone,sadness,sadness,sadness,sadness
speak this can the worst ever felt and even then its pass will still joyous occasion,joy,joy,sadness,joy
God will deliver the righteous their place salvation evil shall touch themØŒ nor shall they grieve,sadness,sadness,fear,sadness
God know why things happen sometimes just hard understand sad prayingforyou,sadness,sadness,sadness,sadness
cheer,joy,joy,joy,joy
ukulele bag have fall apart WELL LEAST life hasn yet Joys quote problemsolving behappy,joy,joy,joy,joy
RadioX wow not hear this forever Random but great sting xph,anger,anger,anger,anger
JoeShennan Meanwhile and get 40am train hope you really really enjoy that hotel Shennan fume,anger,anger,anger,anger
Watch this amaze live broadcast lively musically,joy,joy,joy,joy
droop saw naked wrestle and ask What get hole one jaymohrsports,sadness,sadness,sadness,sadness
turn over after kick way Texans Way Texans terrible noheart,fear,fear,fear,fear
wonder Corey will vote for Nicole snacole bb18 paulsgonnawin finale halfamill nervous,fear,fear,anger,fear
hipster behind the game find very hard pay attention while you talk about the politics grapes wrath SHUT,anger,anger,fear,anger
You offend,fear,anger,anger,anger
have pretty solid GPA kin major and now that look the average for dpt program feel even more discourage,sadness,sadness,sadness,sadness
just have that way think want absolute hope bear from absolute despair,fear,fear,fear,sadness
joyless soulless toy which look nearly identical They the perfect expression consumerism enjoy this franchise,fear,fear,joy,sadness
the whole thread jovial and fun and then this comment like FULL misogyny,joy,joy,fear,joy
the bright side with YouTube heroes leafy will finally get ban,joy,joy,joy,joy
anger inside turn fuel burn and watch myself spin down like inferno type,anger,anger,sadness,anger
have really strange and awful dream last night didn even eat cheese before bed lovemysleep,fear,fear,fear,fear
the same speech However mention foreign hand and fund terrorism the country ProudOfYouPrimeMinister,fear,fear,fear,fear
you feel horribly depress and despondent about life and your future always know just what say,sadness,sadness,sadness,sadness
watch Django Unchained Other people may frown but titter delight,joy,sadness,sadness,anger
there you After that wild start wouldn surprise all Sweden win this game Too much experience there panic,fear,fear,fear,fear
enjoy AHS tonight ahs horror americanhorrorstory,fear,fear,fear,fear
loismackey_ nah way that horrible,fear,fear,fear,fear
much hate for dude cheat women forego please their man they get lazy amp men get lazy amp then just pointless,sadness,fear,fear,joy
such homely pure piece gold Channel will attempt tart Mary Sue and Mel over out,anger,anger,fear,anger
literally gloomy for hour,sadness,sadness,sadness,sadness
tip from drink Uber passenger Today get park ticket blame karma but dumb ass forget pay the meter rage,sadness,fear,fear,anger
decorations all over Jersey already,fear,fear,fear,anger
happy have come across notebooks handmade would love talk you musthave want need happy amaze,joy,joy,joy,joy
hate winter dread arrival,fear,fear,fear,fear
hangover all day Stood dish and now exhaust again GAD depression amp chronic pain depression pain,fear,sadness,fear,fear
you wake scroll through social media and another father take from his child everyday KeithLamontScott,fear,fear,fear,fear
dreadful defend,fear,sadness,fear,fear
breezy love ðŸŒ ƒðŸ,joy,joy,fear,joy
jshayevitz bully worse than hitler demon under human guise its the cause all MiddleEast problems,fear,fear,fear,fear
husband lose 800 when book apartment through Airbnb that didn exist didn care nightmare airbnbnightmare,fear,fear,sadness,fear
dean really save lot ppl don snap nomore amp take much out,anger,anger,anger,anger
think ima lay bed all day and sulk Life hit hard,sadness,sadness,sadness,sadness
dreadful even after meet the Catfish still think her,fear,fear,sadness,fear
Red_Magpie ali_faceache1 joanna_caron KCBFD not exactly rabid tub thumper compare McTernan now,fear,anger,fear,anger
Band Thistle Down will replace The Paul Edwards Quartet Laurel Bank Park Sat 11am 3pm due ill health jazz,sadness,sadness,sadness,sadness
dread this drive every Wednesday,fear,fear,fear,fear
with your piano blue play smooth talk ass the nextt,sadness,sadness,sadness,sadness
what nightmare,fear,fear,fear,fear
Could you ask your Chafford Hundred store turn their car park light bite scary these dark nights Thanks,fear,sadness,sadness,sadness
bedrest since get out the hospital find unopened beer what Pour that shit out alcohol all for sober,sadness,sadness,sadness,sadness
Far from safe and staid find horribly OTT time while everyone seem try just little too hard Not for,sadness,joy,sadness,sadness
billie21806 tell that your body cheer the deaths black people cop their fear kill,fear,fear,anger,joy
leave first job soon work here since kind bitter sweet,anger,anger,joy,anger
that nigga horrible bro,fear,fear,fear,fear
What awful team,fear,fear,fear,fear
Your comment concern Carrie Please your record locator and detail,fear,fear,fear,fear
the foundational key all success Pablo Picasso inspire quote action hustle start dosomething success,fear,fear,fear,fear
MatherFamilys SDICenter ndo REDNECKS intellectually intimidate you and force you their dance clown,fear,fear,fear,fear
Now that what call gameface gameface,fear,fear,fear,fear
terror threat level really need raise,fear,fear,fear,fear
Chic_Happens_ Sean_Okeeffe1 dread the comparisons Queen xima Guarantee will lose followers when that happen,fear,sadness,fear,fear
media celebrate Don King endorse Obama and now criticize him for endorse Trump who want new Civil Rights era sad,fear,sadness,fear,sadness
they brilliant weren they Made feel dull not have one And why tattoo emoji This have,sadness,sadness,fear,sadness
canola lose 464 per tonne,fear,sadness,sadness,sadness
pet store worker ask you want play with them the most exhilarate feel,joy,joy,joy,joy
kimdelacreme_ there let know sober,sadness,sadness,sadness,sadness
can you hold grudge for over year can barely hold one for few minutes,anger,anger,anger,anger
tone voice like One Direction thoughtful and timid yet playful,joy,joy,joy,joy
The Orioles contention and host nation and Camden empty sad,sadness,sadness,sadness,sadness
your rewatching glee and break down tear all over again,joy,joy,fear,joy
Canada final tomorrow WCH Predictions optimism Canadian,joy,joy,fear,joy
all please night down The Lane the next round amp bring Liverpool Anfield COYS,joy,joy,fear,joy
you come silly clock and wake that what happen waste,fear,fear,anger,anger
blue while rid cab home belly much bigger than the rest body but couldnt preggy how lose day,sadness,sadness,sadness,sadness
PriceSjrw5614 Ren102e906 slb42jcb THEN you what you can and then BLOCK them they try discourage,sadness,sadness,sadness,sadness
but his identity reveal and black educate yourself and don insult people when they state facts lol,sadness,anger,anger,anger
can mourn Kid Cudi cause have Travis Scott,sadness,sadness,sadness,sadness
thread draft amp now post mins after birthday close but anyway really the start,fear,fear,anger,fear
worry about typos any email Simon draft attach not,fear,fear,fear,fear
Huh Perhaps Because both dreary get along well,sadness,sadness,anger,sadness
hate freak out and ruin things anxiety,fear,fear,fear,fear
People hate nothing more than happy confident person Never mind confident,joy,joy,fear,joy
pay good money watch someone slap that pout off Candice,sadness,sadness,sadness,anger
don know how much more that bloody pout can take,sadness,sadness,fear,sadness
that rejoice birth and grieve funeral because not the person involve Mark Twain,joy,joy,joy,sadness
feel for the conductor tonight obviously take grief over the last few weeks sound weary apologise,sadness,sadness,fear,sadness
who you compare with the others just human light fire,fear,fear,fear,anger
love company The church ought place where find none Pastor Kris Theobald joy rejoice,joy,joy,joy,joy
tomwilcox77 fume,fear,anger,anger,anger
everyone tremendous LTHEchat tonight,fear,fear,fear,fear
the cowardly dog like american horror story for kid,fear,fear,fear,fear
sport technical support team really suprised SUPRISED HOW SHIT THEY WERE awful,fear,fear,fear,fear
with BOB HADDRELL amp Guests nFri 23rd Sep 30pm 00pm blue free TunbridgeWells,sadness,sadness,sadness,sadness
wish you could someday come Spain with the play can believe not see,fear,fear,fear,sadness
Gosling and Eva Mendes finally joyful funny dont boss dont argue everything with kid mini car trip focus love,joy,joy,sadness,joy
days should just for high cuddle and movies,fear,fear,fear,sadness
from per day 100 300 per month Don hesitate contact for the more result info fxventury com,fear,fear,fear,fear
huff btw tyðŸ,sadness,anger,anger,anger
wan see you smile don wan see you make frown,sadness,sadness,sadness,anger
you keep talkin shit and try offend but you just petty fuck,anger,anger,joy,anger
bad hilarious,joy,joy,fear,joy
ask Jared marry and say,fear,fear,anger,anger
people hit try shake them off talk about how hide from communism,fear,fear,fear,fear
and despair feel look self and family Hubby fight years for this country work years for this govt,fear,sadness,fear,fear
smile,joy,joy,joy,joy
hell Pam calm yourself down But could have swear something black amp hairy just run across the carpet perilsoflivingalone,fear,fear,fear,fear
Now back wxpnfm and elate record fuck shit our studio this even,joy,joy,fear,joy
call fat push him into the lockers then threaten sue,fear,fear,fear,fear
DonKing lion black community speak truth power insult black vote give away cavalierly play TheDemocrats,fear,anger,anger,anger
just hear dads alarm off have really all this time,fear,fear,fear,fear
cherrivarisco yes males colourful and the Females dull that they can blend their environment,sadness,sadness,sadness,sadness
Fingers cross can finish all work early enough this Friday time catch LIB timetogrind,fear,fear,fear,fear
you DWTS You make night every show,joy,joy,joy,joy
have this one not sad but wtf,sadness,sadness,sadness,sadness
fuck dreadful like seriously month old better than him,fear,sadness,sadness,fear
lively even that one,joy,joy,joy,joy
Just pop half bottle 2014 sparkle gamaynoir from Westbank Evenin folks bcwinechat,fear,joy,fear,joy
race advance only the extra achievements the individual You the individual Charles Towne inspire,joy,joy,fear,joy
dammit whays lol rag smh mobilefails,anger,anger,anger,anger
try too hard hate Cam Newton without understand his position sad,sadness,sadness,sadness,sadness
check work today coffee drink and now down some serious business Thursday bring Friday,sadness,sadness,sadness,sadness
can take serious unless use emojis,fear,sadness,sadness,sadness
Morning_Joe JoeNBC Trump say the refugee situation not just about terrorism about quality life Take note,fear,fear,sadness,fear
teeth sink down into the vein the poor woman who have accidentally have small problem with her engine just outside,sadness,sadness,sadness,sadness
While focus issue IPCA IHFOKids Indulges intimidation BringRoshniHome ChildrensIssues MEAIndia StopCruelty,fear,fear,fear,fear
What Shehla Rashid amp Kaniyah Kumar say about you and when they say truth indians threaten them FakeDemocracy,fear,fear,anger,fear
don know from the worst purpose,sadness,fear,fear,joy
not dread call Locks,fear,fear,fear,fear
often imagine hoe our moon would feel meet the jovial moon which all special,fear,joy,fear,joy
wabermes The have good one but then the reporter quit sad,sadness,sadness,sadness,sadness
psychology research show salespeople who score the top for optimism have sales than those top for pessimism,sadness,sadness,fear,joy
the funeral tomorrow mourn the death gpa,sadness,sadness,sadness,sadness
too short frown for long,sadness,sadness,sadness,sadness
multiple comb simultaneously what like call impressive work ohsnap daamn,fear,fear,joy,anger
much time should give friend who lose his laptop mourn before can ask him give his laptop charger and extra battery,sadness,sadness,sadness,sadness
gud premiere LethalWeapon funny and,joy,joy,joy,sadness
horrible person and now gag when see people quote him,fear,fear,fear,fear
thank mucho kateðŸ sober,sadness,sadness,sadness,sadness
day lose,fear,sadness,sadness,sadness
just die depression,sadness,sadness,anger,sadness
funny cause Cooper farther than the people who bully her,fear,fear,fear,fear
fence but want harley quinn blake lively layout,joy,joy,joy,joy
have you want change the past anxiety have you focus the unknown future Neither about live the present,fear,fear,sadness,fear
ThatAnt_ have hit lot irate villa fan lol,joy,anger,anger,anger
true true shudder,fear,fear,anger,fear
this best semester far this also most depress because constantly remind that not mean for greatness,sadness,sadness,sadness,sadness
sing Can Fight This Feeling the shower and Will spy him one the best scenes any show,joy,joy,joy,joy
teach how cheer someone,joy,joy,joy,joy
weed while you watch pull somebody else over the most joyous thing ever,joy,joy,sadness,joy
Dann injure aka worst nightmare,fear,fear,fear,fear
that she could never solve Kashmir Problem and keep burn for Vote Bank TerrorStatePak,fear,fear,fear,anger
kind confuse The one thing right now have great future but the other hand the new thing needhelp,sadness,sadness,fear,sadness
And the air raid alarm actually false There attack inbound the time,fear,fear,fear,fear
tremble like Cooper hang,fear,fear,fear,fear
predict that 2020 the term cloud will longer use nIT Managers and Administrators everywhere will rejoice,joy,joy,joy,joy
not educate your child rich educate them happy when they grow they know the value things not the price,sadness,joy,fear,joy
distraught Candice and her pout can piss off,sadness,sadness,sadness,sadness
for MOS shock Leads from the front ªðŸ,fear,fear,fear,fear
This joke fume,anger,anger,anger,anger
major bank stock down almost from their highs while benchmarks still close top sure worry for market,sadness,fear,fear,fear
play underlord while listen cheery anime music,joy,joy,joy,joy
Texans should never play prime time game again this awful TNF,fear,fear,fear,fear
loyal heart concern somber,fear,fear,sadness,sadness
bad fear for lifeðŸ,fear,fear,fear,fear
Shame you show elephant hunt and kill shock,fear,fear,fear,fear
delight the Lane tonight and witness the debut some young talent that could the backbone our club COYS,joy,joy,fear,joy
Annoys about the Ortiz tribute too how would the Oriole fan and organization feel Yanks that them awful,fear,fear,fear,fear
your online appal clear save button not able use any generic TLD unhappy,sadness,sadness,sadness,sadness
get nervous even think about talk wan die,fear,fear,fear,fear
her legs aren shake you not right,fear,fear,fear,fear
officially end today sadness,sadness,sadness,sadness,sadness
these last couple days who the cause this fear lose someone close amerikka kkops TerenceCrutcher,sadness,sadness,sadness,fear
play yung fav song chavs sober,sadness,sadness,anger,sadness
Hey There Phil Glutting thank you for follow appreciate,joy,fear,joy,joy
put famous dex tweet with breezy lol chris that guy dex bitch lmao music ass,sadness,joy,sadness,joy
you need look the definition protest What you not protest call vandalism stop,fear,anger,sadness,anger
get this Best Buy job and officaly start stream career work towards something love 1DayAtaTime,fear,fear,fear,fear
canal therapy have have bad reputation the past but new technology have allow more comfortable procedures dental,joy,joy,fear,joy
chillin pine lakes,sadness,sadness,sadness,sadness
channel the height technics hearty enjoyment symptomatize vrlfEyrN,joy,joy,joy,joy
this massiah youngleader Pakistan massiah,fear,fear,fear,fear
can get sleep cuz they too guilty about all the horrible shit they complete sociopath sleep like baby,fear,fear,fear,fear
Hey There Phil Glutting thank you for follow appreciate smile,joy,joy,joy,joy
don wan call pig but they keep actin like honestly that even insult pig,anger,anger,anger,anger
not one rush colder weather but this year ready for hot coffee dark lippies scarves sweaters amp boot,sadness,sadness,sadness,sadness
fear not the truth even gloomy but its counterfeit Berl Katznelson,sadness,sadness,sadness,sadness
why the ticket website never work Trying buy Palace ticket and impossible and say there error,fear,fear,fear,fear
the way Laser Vista lens implantation LaserVista happy,joy,joy,joy,fear
daamn getitgirl girlpower rawr ChicagoPD,anger,anger,fear,anger
day next week catch the sauce and watch the heaviness,sadness,sadness,fear,sadness
laundry and watch that show with bunch strangers birthday,joy,joy,fear,joy
amp with Christie westernuHistory What would Peter and Dardanella think know poorthings shy,fear,fear,fear,fear
think that yawn actor die drug overdose,joy,joy,anger,joy
terrible from the cat there Wow AFLCatsSwans,fear,fear,fear,fear
night shift come win miss but will miss work pal and the hysterical laughter that get through the night,fear,joy,fear,joy
Bowers and drive for while this even,fear,fear,fear,fear
plot next step get cut off the same minivan tomorrow drop off line preschoolpolitics momthings serious,sadness,sadness,sadness,sadness
spend grand total five minutes sober since Sunday even freshers,sadness,sadness,anger,sadness
Watch this amaze live broadcast musically,joy,joy,joy,joy
Watch this amaze live broadcast lively musically,joy,joy,joy,joy
Pride and Prejudice modern day Keeping with the Kardashians never offend life,fear,anger,fear,anger
minus hours till meet with designer who want model his new fashion line,fear,fear,fear,fear
gurls for tribute œðŸ snapme nudes tribute cumtribute cock cum swallow,anger,anger,anger,anger
wear Friday nspeaking front 100 nervous,fear,fear,fear,fear
certain hilarity people angry protest against the national anthem the flag when these act cover 1st Amendment,anger,anger,anger,joy
serious about put word mouth bitch don add the sentence didn say that shit blood,anger,sadness,sadness,sadness
HillaryClinton realDonaldTrump bully Bullshit fullofshit please take out the garbage,fear,fear,fear,fear
you hear Darn Your optimism lead your own demise You should live ZeroBOT,joy,joy,fear,joy
really love the customer service they always nice helpful and cheerful,joy,joy,fear,joy
always pick the piece angry,fear,anger,fear,anger
bear with not Twitter savvyðŸ real life Facebook person Help gain followers blog selfhelp depression,sadness,sadness,sadness,sadness
let see you frown,sadness,sadness,sadness,anger
now get ban but will still lurk corner and underneath the bed and sofa much Eyepatch delight Why she,sadness,fear,joy,joy
butter the wall nightmare,fear,fear,fear,fear
kitchen sink,sadness,sadness,sadness,sadness
feel horrible have account today but physically and mentally not okay,fear,fear,fear,fear
You get watch the new series This wow Best show see long time tear moretears,sadness,joy,sadness,joy
nWe express our deep concern about the suspension MohammedSomaa01 please reactivate never violate roles,fear,fear,fear,fear
will win the game the last minutes and Madridistas will say Cules stay this long watch win the end Disgusting fanbase,fear,sadness,fear,sadness
always smile love gbbo,joy,joy,joy,joy
philjame5 wow that look bright,joy,joy,fear,joy
Yeah win mourn but glad ride the last time visit,fear,sadness,fear,sadness
hell Rush for the damn train also use Fucking 4min wait Still sweat smrtruinslives,anger,anger,sadness,anger
tweet chirp chirp losers,joy,joy,joy,joy
the casuals tweet that Vic have faved make gag bitter,anger,anger,anger,anger
phone Mcds,fear,fear,fear,fear
rage strike those that wish them best emotions negative positive wish strike martial arts control believe best hope,anger,anger,joy,anger
Ellie from here answer your question Don shy she love talk about equestrian fashion equestrianhour,fear,fear,fear,fear
drink the worst version myself ffs don even remember see basshunter,fear,fear,fear,fear
false alarm work again,fear,fear,fear,fear
BBCPolitics BBCNews rather leave child with shudder,fear,fear,fear,fear
refuse live fear,fear,fear,sadness,fear
WellerMonica Monica write regularly for but not never dare try them buzz HONEY,fear,anger,anger,anger
Mine too With what happen country need this moment levity bernblade LisaVikingstad,joy,joy,joy,joy
shock horror handicap dodger the top close the agg cup good but think pressure will get markðŸ,fear,fear,fear,fear
when guy cant control their anger ƒðŸ,fear,anger,fear,anger
think Sam_Canaday amp KYLEJDOWSON must actually have work like amp because havent get any snap chat videos today,anger,anger,sadness,anger
During the day jovial TribalCouncil different darker fellow Still simply but smile few Survivor,joy,joy,joy,joy
might serious number but sound better Wild card race,sadness,sadness,sadness,sadness
concede yet but have nightmare the back MUFC,fear,fear,fear,fear
lose bag stillwaiting home in2days you info and have ring 9times day What more can wheresmybag,fear,sadness,sadness,sadness
While she her dull and sleep hour crew patch rude mechanicals AMNDBots,sadness,sadness,fear,sadness
but sadly miss some crucial and important point Indian terrorism kal Boshan etc Raw involvement,fear,fear,sadness,sadness
awe,fear,fear,fear,fear
fuck untouchable isn Been fuck dreadful again depay have look decent ish tonight,fear,fear,fear,sadness
look back recent tweet see this one right here great perfect hilarious Speechless deal,joy,joy,fear,joy
friend just message ugh hungry can wait for breakfast socialmedia WineWednesday funny laugh,joy,joy,fear,joy
hard its harder stupid life love sadderness moreofsad howdoestears whatislife,sadness,sadness,sadness,sadness
Trying book holiday flight website become,fear,fear,fear,fear
feel like one out there Twitter for can anyone see what write sadness rant,sadness,sadness,fear,sadness
pochama nHe very cute and easily elate,joy,joy,sadness,joy
sad moment when hand exam know fail and grieve eat and sleep,sadness,sadness,sadness,sadness
you wake from dream laugh something stupid and that make you laugh more,fear,joy,joy,joy
hmu need players for lans next year Need serious players under org,sadness,sadness,fear,sadness
god the feds not raise rat Assume they nervous about world where 990 the new employee form amp the safety net zilch,fear,fear,fear,fear
thing can say that you keep smile,joy,joy,joy,joy
Watch this amaze live broadcast lively musicallyjh,joy,joy,joy,joy
liver elate that isn,joy,joy,joy,joy
walk ball stress and anxiety lol,fear,fear,fear,fear
sardesairajdeep narendramodi seem more happy abt the dvlpt Nything dat fail for Modi make elate even cost country,joy,joy,joy,joy
the world Nicole beat Paul terrible bb18 BBFinale What the jury think ³ðŸ ³ðŸ,fear,fear,anger,fear
slug vitamin pills the handful like they amp When will this eternal winter end Melbourne grim overit,sadness,sadness,sadness,sadness
CAR DENTED FROM THE HAIL sad,fear,sadness,fear,sadness
pbhushan1 your opinion this the worst delhi govt acrid bitter hypocrisy,anger,anger,anger,anger
there diver name steele johnson like him bar from the olympics,anger,fear,fear,anger
can you blame the manager watch these players play abysmal Our team dreadful Jose can save one can mufc,sadness,sadness,anger,fear
age all see gray gray because bad eye perspective depression healingjustice,sadness,sadness,fear,sadness
Isn the whole hijack argument the same argument use ban discourage the display the George Cross Shame,fear,sadness,sadness,sadness
tummy full steak wine key lime pine and cuddle tap What way turn around stressful Wednesday,fear,fear,fear,sadness
suppose dark and gritty though,sadness,sadness,joy,sadness
that the spirit optimism,joy,joy,joy,joy
ThatWhiteSoxFan not sad the White Sox play record,sadness,sadness,fear,sadness
TheSGJournal Step Get rid Step Prioritise football Step profit depress,sadness,sadness,fear,sadness
literally crack when see post from years ago and later hilarious,joy,joy,joy,joy
Annoyed with bully download app that eat phone memory Will seek alternative from now bully tripadvisor,fear,fear,fear,fear
girl love your perfume there something bout you ðŸŽ breezy,joy,joy,joy,joy
who NOTHING hat Nicole game hahaha bitter bb18,anger,anger,anger,anger
wan kill you and destroy you want you die and want her back emo scene fuck die hatered,anger,anger,anger,anger
WellerMonica Monica write regularly for but not never dare try them buzz sting HONEY,anger,anger,anger,anger
nephews cousins nowhere near bad guy but they could kill any moment cop that think they their color sad,sadness,sadness,fear,sadness
Come the BullSkitComedy FUNdraiser this Fri 8pm Because pie face hilarity,joy,joy,fear,joy
Thank you happy birthday you well,joy,joy,fear,joy
Hey why can only see send email Where the thousands,fear,fear,anger,fear
wouldn mind didn you know threaten job when disagree Puts damper things,fear,fear,fear,sadness
can scar Bees terrify,fear,fear,fear,fear
basically dead skin peel which sound grim But literally get rid much dead skin from your pore,sadness,sadness,anger,sadness
just want let everyone out there know you wonderful people beyourself late night compliment behappy,joy,joy,sadness,joy
plus hearty pour yachtrock mustacheharbor,joy,joy,fear,joy
shock service for your call centre staff this even Transfer and cut off after wait forever speak someone,fear,fear,fear,fear
fuck dreadful for live footy match,fear,fear,fear,sadness
joke life Kardashian and Jenner stans Their live dull parent must proud,joy,sadness,fear,sadness
Flirt simper pout repeat Yuck,sadness,sadness,fear,sadness
have another test tonight,fear,fear,fear,fear
kayleighmcenany DonaldJTrumpJr that really all you can offer for those who sacrifice daily keep you safe sad,sadness,sadness,joy,sadness
Old say smile share one gain for another day YEGlifer,joy,joy,joy,joy
dear dear Fucking dreadful ˆâš½ï âš½ï,sadness,sadness,sadness,fear
you scar press send bgoodthepoet PrayForMe ThisIsAGodDream career help fear heart HeartRacing,fear,fear,fear,fear
have reverse half way the woods collect the dog never even reverse park life nightmare,fear,fear,fear,fear
wake and instantly feel happy,joy,joy,fear,joy
NewAgeInsiders ChaoticWrestlin make sure you tell them how scar you revenge ŒðŸ ¼ðŸ ŒðŸ,fear,anger,fear,anger
fast response madrid Zidane threaten unuh,fear,fear,fear,fear
some weeks there problems but this week unbelievable you guy even run regular bus awful solate,fear,fear,fear,fear
blood and mucus and choke and have swallow mirth cut too short Wrong answer take some awkward movements,joy,joy,fear,joy
jimmyfallon just sucker for pine wan rake you wan pile you down just sucker for pine FallSongs,sadness,sadness,sadness,sadness
page script due Friday for class Who say could this MFA thing panic GradSchoolProblems someonetelltinafeytohireme,fear,fear,fear,fear
moment the day when you have start plaster smile your face depression,sadness,sadness,joy,sadness
happy bright YOU identity TimelessTips friendship family forest water family TrueLove God RoadSoFar you LifeTrip,joy,joy,sadness,joy
Feeling like have the worst night sleep ever not great before the London Brighton cycle ride for ðŸš 100k apprehension,fear,fear,fear,fear
get nervous out here,fear,fear,fear,fear
buy art supply and debate how serious buy acrylic paint,sadness,sadness,joy,sadness
breezy breezy breezy that breezy that buzzinn,joy,joy,joy,joy
surely drop the price for that cup tie rather than the dismal attendance last night,sadness,sadness,fear,sadness
pass remain absolutely dreadful see,sadness,sadness,sadness,fear
pessimist see the difficulty every opportunity optimist see the opportunity every difficulty Winston Churchill quote,sadness,sadness,fear,sadness
worse than uber driver that can drive awful,fear,fear,fear,fear
worthless always,fear,fear,sadness,sadness
terror love you,fear,fear,fear,fear
this get out hand freak out this death and God mommaGrendel intimidation,fear,fear,fear,fear
restoration the nation israel everywhere you look bless barns wine overflow Everything beautiful do_u_see,joy,joy,joy,joy
cailamarsai you have the whole time watch black_ishABC after you lose your glass hilarious,joy,joy,joy,joy
don read article people who rage about how horrible Cybernats Got,fear,anger,fear,anger
course not Didn sink his stud into knee like Forrester,sadness,sadness,sadness,sadness
CBSThisMorning again profile DOESN discourage September 2016 EDT terror TRUMP FAIL,fear,fear,sadness,fear
didn have many chance show what can but look lively and have good shoot tip over the bar before the end,joy,sadness,sadness,joy
cure for anxiety intimate relationship with Christ John,fear,fear,sadness,fear
dream last night that Chris Brown create diss track about Drake and Rihanna call Hit First ³ðŸ dark,fear,fear,fear,sadness
brigetjonesbaby the best film hilarious good funny,joy,joy,fear,joy
what have available store now nLiquid incense for those who can burn stick con have smoke they home,anger,anger,sadness,anger
otherwise patent closest patron braininess ideas that incense the offensive lineman wHYaNEWG,joy,fear,fear,anger
SheikhHasina speech term terrorism global challenge and urge world leaders work together unroot from everywhere,fear,fear,fear,fear
starve for content take but def pout about ÕŸàº ÕŸàº,sadness,sadness,joy,anger
you seriously need pop out some curtain while matt film scare the bejesus out him,fear,fear,fear,fear
Brown Law Never offend people with style when you can fake that you have break this Island,anger,anger,fear,anger
minutes yoga your breakfast routine will change your day preparation sunriseyoga bodyawareness health yoga stretch,joy,fear,fear,joy
that clear American naturally flavor sparkle water,joy,joy,joy,joy
