Content,Emotion_predicted,Emotion_actual
And you as well sparkle cherebork MelissaJoyRD SarahKoszykRD eat4performance rustnutrition,joy,joy
British_Airways just come of BA6426 at at least 6 passengers with break bag This be a new suitcase unhappy customer,sadness,sadness
One choose by the CLP members MP seat be not for people to dole out to their mat we elect candidates,anger,anger
a laurel and hearty handshake,joy,joy
ghost of Stefano reflect on the grim indignity of be murder by corrupt cop in faux love days,sadness,anger
ðŸ dont be sad btw good night davina go sleep larh,sadness,sadness
seantkin coachella RomanDanielsXX I see my eliminate the hang tongue campaign be a dismal failure,sadness,sadness
didn t even realise you use that insult it be that shit mate,anger,anger
Wagging his tail at the praise he pause tilt his head as she take the frisbee from him let out a playful,joy,joy
I be so intrigue by your style boy Always be a sucker for a wild boy alarm AnneMarieIAm,fear,fear
maybe it d have be different if I stay for sixth form But still the oppressive architecture uninteresting people,sadness,sadness
all about redwine and glee,joy,joy
write my second book tonight somber sad youpromised havemercy author writer needpublisher beingedited workingonsidebook,sadness,sadness
never think an angry oompa loompa would be my Boggart but there you have it boggart PresidentTrump nightmare,fear,fear
hope this come back to haunt you then maybe you would know just how it felt to be like me at my lowest,fear,fear
manchester unite still untrusted iam afraid i might loose my bet,fear,fear
interview in the afternoon nervous ek,fear,fear
so you mean â œlike Uber but for despair for someone other than the driver,sadness,fear
what a beautiful day elate,joy,joy
second artist announcement look good bluesfest2017 Music byronbay,fear,sadness
it s Bowers I go and drive it for a while this even,fear,fear
worry if your character be already take The RP I m look for be a non couple form RP Just a fun love haunt n,fear,fear
love when girls be busy in teach how to pout while take selfie in a mall their desication be immense women love perfection,sadness,sadness
when they hmu on snap and I m like which one be you ðŸ,anger,anger
I be in pine bluff all morning and to piss me off even more my damn shoe come in as a size 4 I KNOW I SAID 6ðŸ ðŸ ðŸ ðŸ FML,anger,sadness
gutted dishearten amp so piss off Gone from 1 off the toughest most resolute defences to the worst amp most shambolic SCFC STOHUL,sadness,sadness
don t I know it try not to fret my sweet little pupper,sadness,sadness
Hakyeon take all the attention happily perch on Wonshik s shoulder to sulk when Jaehwan accidentally cause a tiny explosion,sadness,sadness
chillin on pine lakes,sadness,sadness
you remember when Narley die You cry like a baby,fear,fear
simmy_hanley also a,fear,joy
If you change the dark image both look different but both look like they be in a forest,sadness,sadness
the walk dead mr robot american horror story merlin,fear,fear
like to bridge the divide between Right and Left Twitter and say that the new Tweet truncate thing be fuck awful,fear,fear
mind be a dark room nDeveloping Madness â ðŸ,sadness,sadness
join pottermore and be sort into HUFFLEPUFF ðŸ ðŸ ðŸ fume,anger,anger
your gunna make me cry I need a glee day,joy,joy
just say to me I m go to numb your front lip up so it ll feel as if you ve get lips like Pete Burns She be right,fear,anger
I worry about typos in any email to Simon draft attach or not,fear,fear
I think Sam_Canaday amp KYLEJDOWSON must actually have to be work like me amp because I havent get any snap chat videos today,anger,anger
Thank you for unfailingly bring so much joy into my life you incredibly talented maker of mirth,joy,joy
I m not be shady but one of Jongdae s ex rumour girlfriends be go on WGM I m not say I m over joy but I m over joy,anger,anger
The bowl on my new food processor break sadness,sadness,sadness
do the exact same minus the beer sadly,sadness,sadness
it ain t that serious HOUvsNE awful igotbetterthingstodotonightthandie,fear,fear
roommate turn the sink off with her foot to avoid germs and a guy say YOUR roommate be feet girl I m so sorry plz help nightmare,fear,fear
you may be right but since year the bad events begin with B I m privately hop we ve get at least C Z to go 1st,joy,joy
lose my blinders panic,sadness,fear
for me not to worry they ll get a glass guy over and bill us for it,fear,fear
let s get this mirth SAW keepthetradition ðŸ œðŸ âš ðŸ µðŸ ðŸ ðŸŒ¼ðŸ ðŸ ðŸ šðŸ ˆðŸ ˆðŸ ¾ðŸ,joy,joy
Mysteri759 Ren102e906 slb42jcb Well I m too old and too stubborn about facts amp history to be discourage,sadness,sadness
I ll actually shoot somebody if I have to not just draw down or expose it to somebody to scare them ðŸ Charles,fear,fear
Because of failure of delivery on time a customer have to pay 16K rupees more Not good tiagotatamotors unhappy,sadness,sadness
Turning then the older woman look at Sybil with a most somber expression n nâ œShe run away from me But I can not blame her â,sadness,sadness
I can t wait to hear what he have to say about the brilliant Dr Hawking it should be rich In the poorest of taste bully,fear,fear
not dread It s call Locks,fear,fear
NewAgeInsiders ChaoticWrestlin make sure you tell them how scar you be revenge ðŸ ŒðŸ ¼ðŸ ŒðŸ ¼,anger,anger
you ain t shake no ass don t ask me for my liquor Rule 1,fear,fear
absolutely dire first half and I can t recall a shoot on target n nAgainst Accrington Stanley,fear,fear
can t stop smile ðŸ ðŸ ðŸ,joy,joy
one want to win the wild card because you have to play the Cubs on the road sadness,sadness,sadness
last madden commercial ðŸ ðŸ ðŸ ðŸ ðŸ ðŸ TNF,anger,anger
RVAGameBreak GAHSBasketball nGo Jags ðŸ I think we have a good shoot of beat Deep Run tomorrow revenge,anger,anger
Might go on tomorrow to hopefully win a new car My current one stink of go off milk grim,fear,sadness
don t know how people can binge watch horror film ALONE ðŸ ðŸ,fear,fear
I ll be honest I hope that annoy Southern bint with the look at me pout go out this week Selasi FTW,sadness,sadness
just replace my sadness with laughter can t go the whole day sad,sadness,joy
Her eye stay glue to the monitor not turn away for anything,sadness,sadness
I so wish you could someday come to Spain with the play I can t believe I m not go to see it sad,sadness,sadness
Pride and Prejudice be a modern day Keeping up with the Kardashians I ve never be so offend in my life,anger,anger
yessir Also cheer for Sweden bc of Lundqvist,joy,joy
My literally crack me up when I see post from 2 years ago and later ðŸ hilarious,joy,joy
3 of penny dreadful be on Netflix well my afternoon be fill,fear,fear
Staff on ryainair FR1005 Asked for info and tell to look online You get what you pay for Ryanair Compensation awful,fear,fear
I should just get over my depression and be happy Don t you think I ve try that thousands of time already You re not help,sadness,sadness
Loved Bethenny independence msg on be happy amp fulfil within yourself amp positivity will flock to you independent,joy,joy
proficiency be like please by what name miami beach pIkxb,joy,joy
just want to let everyone out there know you be wonderful people beyourself happy cheerful late night compliment behappy,joy,joy
Canada should be a drive force of democracy freedom right instead we help dictator misogyny Sharia Islam polygamy,fear,fear
jimmyfallon I m just a sucker for pine I wan na rake you up I wan na pile you down I m just a sucker for pine FallSongs,sadness,sadness
I feel for the conductor tonight he s obviously take grief over the last few weeks he sound weary of apologise,sadness,sadness
every morning to a positive head start with your clients relations,fear,joy
AriZernial don t let him discourage you Z That s one of the best ideas yet,sadness,sadness
be go to be a challenge I have to talk at a freshers fair to STRANGERS ðŸ and pick up my new flat key anxiety,fear,fear
i turn the game on want to play madden and before i load up a game i just turn it off now,anger,anger
PeanutRD MelissaJoyRD SarahKoszykRD eat4performance rustnutrition hey sparkle be the word I just pick 4 my biz card,fear,joy
media celebrate Don King endorse Obama in 08 and 12 now criticize him for endorse Trump who want new Civil Rights era sad,sadness,sadness
Cigna bow out for the moment Rather than sulk I m go to for an opinion from the guy study Oligodendroglioma âœŒï amp â ï amp ðŸ s,sadness,sadness
Of course not Didn t sink his stud into a knee like Forrester,sadness,sadness
Watch this amaze live ly broadcast by lively musically,joy,joy
R1Breakfast Totes have to re listen to the endless hilarity that be Tom Odell s raar this morning ðŸ ðŸ ðŸ grimmers fionaradio,joy,joy
city be burn The head of terrorism Assad regime amp Russia be bombard the city right now with whitephosphrus bomb,anger,fear
that i dont mind too much smoother thicker texture make it more hearty also im glad ice coffee be a thing in the uk now,joy,joy
start a good day without a cup of tea n n tea day goodday,fear,fear
huff i know your pro hillary and so be CNN and MSNBC but they make no mention of this this statement would be gold for em,fear,anger
don t like pineapple I only eat them on pizza they lose the sting when they get cook,anger,anger
my dream They be try to steal my kidney blackmarket whydidiwatchthat,fear,fear
NativeApprops SBShear Shew That be,fear,fear
From what I know of the man I have to assume that have have a heat argument with his own penis sad,sadness,sadness
word today amwriting horror novel 42 080 Magnitude total so far 25Kish to go,fear,fear
syd_viciously I have gain a tremendous amount of respect for over the past couple of years,fear,fear
Maybe that s why we re ask to study hard and get a job that we like That way it wouldn t be that dreadful,fear,sadness
HumbleTeej even if he say nothing he ll still piss some people off He s get ta decide who he want to make angry,anger,anger
think I ll hesitate to run you over Last time I check I still have Accident Forgiveness on my insurance policy,fear,fear
I tear my MLC play football in HS Knees be serious business Take care of them Lem me know if you need anything,sadness,sadness
Jesus weep Another RNS from rusty quote Price sensitive news Price Sensitive news etc etc The Ramping here be,fear,fear
They want as police state they be fearful imbeciles interpretingall mikefar1974 MetalMilitia74,fear,fear
I didn t see them huff,anger,anger
understand now if it s not please to the ear then it ain t what you want I m so so tire,joy,joy
be full of joy in the Lord I say it again rejoice Philippians 4 4,joy,joy
nothing like a good old fashion panic induce cry on your live room floor,fear,fear
9 30 Howland Cultural Center BeaconNy Vickie Raabin amp Chris Raabe blue soul 8pm LocalMotionWVKR 845 831 4988,sadness,sadness
your hardship s into a burn desire to succeed Never fear failure without it there would be no success SPX FinTech,fear,fear
b er off NCFC be a grudge match,anger,anger
Freshers2016 for a me day nail sunbeds and gym ðŸ ðŸ œðŸ priorities student studentnurse pamper,joy,joy
Watch this amaze live ly broadcast by lively musically,joy,joy
Canada should be a drive force of democracy freedom right instead we help dictator misogyny Sharia Islam terror polygamy,fear,fear
Boro be at the OS before then they could give the stewards a good work out Chelsea will get about 8k will be lively,joy,joy
call 2day from Haitian church we start in Florida some 15yrs ago Preparing to acquire their own bldg Wanted me to know,fear,joy
to the funeral tomorrow at 12 to mourn the death of my gpa,sadness,sadness
just spend 40 on big little sis tomorrow and i be beyond happy about it SAW mums,joy,joy
be not death that most people be afraid of It be get to the end of life only to realize that you never truly live â,fear,fear
friends tell me I m pretty Trigger tell my I m ugly I first be confuse but then realise I m both Pretty ugly tru tumblr,sadness,sadness
You ve get to watch the new series This be Us wow Best tv show I ve see in a long time n tear laughter moretears,joy,joy
fear not the truth even if it be gloomy but its counterfeit Â Berl Katznelson,fear,sadness
come on soon happy,joy,joy
Benoist and Grant Gustin HAVE to do a musical crossover episode glee origins arrowverse,joy,joy
Feeling like I ve have the worst night of sleep ever not great before the London to Brighton cycle ride for ðŸš 100k apprehension,fear,fear
ACT 4 anxiety amp depression group begin Mon October 17 for 6 weeks Contact me to register now mindfulness Halifax,fear,sadness
just say to me I m go to numb your front lip up so it ll feel as if you ve get lips like Pete Burns She be right pout,sadness,anger
luck to all Fury Haney players play this weekend at the Future Stars showcase in Frisco Tx KGB G town,anger,anger
I ve be disconnect whilst on holiday ðŸ but I don t move house until the 1st October ðŸ,anger,anger
can t even grieve over one black body before another one pop up due to pig brutality,fear,sadness
may sometimes be delusional but pessimism be always delusional â â Alan Cohen believe,sadness,sadness
might have hysteria i don t kno if it s just anxiety or both need a diagnosis cuz somethin be mess up need ert bu i nvr come out,fear,fear
hate freak out and ruin things anxiety,fear,fear
amstrado_CPC the single tear be him be joyous that he s delete the monster that have bring generations of despair,sadness,joy
you make me cry and shake to the point where my parent have to calm me down and give me calm tablets,fear,fear
warrensarahh awe miss y all too,fear,fear
_Mrs_Peel lp_lisa PaulRGoulden Might be the pout of a star baker tho,sadness,anger
the new BatmanTelltaleSeries Looks good but I m grow weary of this game style Batman,sadness,sadness
pawpaw be have a good time rejoice up in heaven for his first birthday there,joy,joy
I m so gutted I love her cheery disposition,joy,joy
This be a joke fume,anger,anger
I have no idea until I come off air direct at 7pm shock ðŸ,fear,fear
saw those dream dash amp amp divide like a million star in the night sky that I wish on over amp amp over again sparkle amp amp break,joy,joy
hate when it s gloomy outside because it always get me in a depress mood,sadness,sadness
be a fast response madrid Zidane threaten unuh,fear,fear
dancers dream song worldpower,fear,anger
smile because life be a beautiful thing and there s so much to smile about MarilynMonroe KeepSmiling,joy,joy
view of the human be be as a dynamic expression of the Cosmos we exist within humanism awe,fear,fear
return of Matt Damon and of director Paul Greengrass bring back all the exhilarate if rather po face entertainment to a movie,joy,joy
mcdermo11 u give Laura so much constructive criticism she block u Lazy Give Up Now No Hope Retire same with Heather,fear,fear
will the weeks full of Mondays end,fear,sadness
April 25th 2010 for me Keep up the good work sober prouder,sadness,sadness
MCHorseFayse bockaguyjim generalgoodsman so you be own by losers on Twitter sad,sadness,sadness
love that Jordy revenge âš½ï,anger,anger
lool soon as man start loose weight Its panic,fear,fear
AND his momma be worse than Tony sopranos momma wow history major,fear,sadness
palmtreesarah have more fun than the funniest person in funsville Much hilarity as usual Thank you â ï,joy,joy
my ass be no longer an insult,anger,anger
But I do think we need to experience a bite madness amp despair too This be the stuff that make us human,sadness,sadness
want to be a woman who overcome obstacles by tackle them in faith instead of tiptoe around them in fear Renee Swope,fear,fear
days on never a fuck pen nffc bitter,anger,anger
have a terrific game and not at all faze MCFC,fear,fear
my first time in Slough so check out the new station floor sad LifeOnTheRoad,sadness,sadness
Oh dear oh dear Fucking dreadful ðŸ ˆâš½ï âš½ï,sadness,fear
have to snap go crazy ðŸ ðŸ,anger,anger
fear only make them scarier Whatever your fear if you face it it should start to fade courage,fear,fear
When U ride on a pile of salt life be extra sweet Always salty always savory surf aloha smile â,joy,joy
football match without commentary be something that I rejoice find a transmission of Cityâ s match like that today joyful,joy,joy
to work and I realize I forget to put on underwear It s go to be one of those days mombrain toomuchgoingon longday,fear,joy
I be shy xD,fear,fear
incredibly terrible about my life be i m 23 years old and still suffer through group project,fear,fear
ok thats it After 2 weeks not be able to sign in time to move on amp find another app I will strongly discourage NikeRun,sadness,sadness
so what you mean to tell me be that glee be get less gleeful,joy,joy
TedLeitner You two be TEN TIMES more interest than those particular afternoon goofballs I could say worse umbrage,fear,anger
I highly suggest if you be look online for a company to help you send you re package overseas DO NOT EVER EVER USE,fear,fear
MLB Sam Dyson be probably have flashbacks right about now nightmare,fear,fear
lose,sadness,sadness
seriously sort your sh t out I spend age write that caption for you to delete it and not post it instagram,anger,anger
the NY Phil webcast Something miss Reminds me of a blithe Journey s End I once saw on Bway Might just be the Gershwin,fear,joy
doesn t anybody I know watch penny dreadful â ¹ï ï,sadness,fear
be just too damn earnest for early morning listen sting,anger,anger
Pats be awesome Belichick be awesome they just be awestruck,fear,fear
I m not there yet Hasn t sink in yet Rest up,sadness,sadness
We ve have no foreign policy but have have goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf,sadness,joy
hahahahahaha Oh gosh You be hilarious A black man try to keep racism alive Get out of here man,joy,joy
should be retitled fill your house with old trash repaint junk trash,fear,fear
of debunk panic be the idea that either a physical symptom negative think or a behavior begin the vicious cycle CBTWORKS,fear,fear
most wasteful day be a day without laughter,joy,joy
I want to achieve to your level of optimism,joy,joy
tell my chiropractor I m here for a good time not a long time when he question my habit and yet again I have unnerve a doctor,fear,sadness
CN seem like you only appreciate good review No apologies to my concern years ago,fear,fear
love my family so much lucky grateful smartassfamily love,joy,joy
want Saturday to be over but then again I want to do good LSAT,fear,fear
dreadful 3 temporada,sadness,sadness
so gloomy outside I wish it be as cold as it look,joy,sadness
your nightmare,fear,fear
ananavarro most of Trump supporters have not clue about the mean of the word they use just like him sad nevertrump,sadness,sadness
what just happen In need to smoke burn,anger,anger
DeltaAssist Tried 2 get earlier flt 2day Turnd away bcuz it be 2 late Then agent let other pas on silvereliteleftbehind unhappy,sadness,sadness
Tolumanda love it so true As teach me fear can be an illusion coach courage,fear,fear
be will to walk alongside you without be intimidate by you WhoIsIT Part2 RelationShift CLifeMacon,fear,fear
white prick that be laugh at your use of language win t be cry over your coffin but rejoice that you re another,joy,joy
I ever want be a chance I m so psyched to start this new chapter newbeginnings timetoprovemyself morethanready,fear,fear
Flirt simper pout repeat Yuck,sadness,anger
time I saw Rachel from glee tell someone their job be on a pole and I say that in 5th grade to a boy and he look confuse,joy,joy
pat 2 5 10 11 just before,fear,joy
they re date guy nervous bodybuilding with Follow4Follow megaphone xx number Nierstein,fear,fear
Bout ta get my dontbreathe on up in here nervous icantholdmybreaththatlong,fear,fear
It s a good day at work when you get to shake Jim Lehrer s hand Thanks keratx Still kick myself for be to shy to hug,fear,fear
dhoni bcoz of be calmness nd match win finishers nd a proud miltirian dad husband nd wonderful humanbeing nd his smile,joy,joy
rate be at 22 22 I get ta make some things shake,fear,fear
be the foundational key to all success Pablo Picasso inspire quote action hustle dosomething success,fear,fear
depress how despicable Trump with no policies campaign on bigotry amp rancour can be so close evil immoral disaster,sadness,sadness
fuck hell mate absolute nightmare ðŸ,fear,fear
Give it up Gas I don t hate u I just don t respect ur rudeness,fear,fear
a side note if you be self medicate That s not help that be bury the anxiety that WILL manifest in another way Heart disease,fear,fear
This be so lovely Or I be frighten not sure which But wow,fear,fear
feel so bless to work with the family that I nanny for â ï nothing but love amp appreciation make me smile,joy,joy
all Don t forget it s RobinHoodHour TONIGHT ðŸ ¹ n n bizitalk bizhour southyorkshire MansfieldHour chirp sheffieldHour NottsHour,joy,joy
I despair at this madness It s beyond shock it s cold blood murder How long will SouthAfrica stand by amp watch WorldRhinoDay,fear,fear
how on earth can I send an email to you Very annoy customer fume,anger,anger
JADED everyone be,fear,fear
Proud of you for overcome your fear of deep water,fear,fear
ready for October Cooler weather and more horror flick on TV,fear,fear
drink me hide my key very well sober me couldn t find it anywhere,sadness,sadness
anger inside I turn to fuel I burn and watch myself spin down like inferno type,anger,anger
block Carrick s shoot and then miss a sitter that Memphis who be ready beside him surely wouldve bury Good start lol MUFC,fear,fear
They ain t go away and I don t want to see them hurt change hearts mind be really our only option no optimism,joy,joy
you have 15 doe run the opposite side of you ðŸ depression,sadness,sadness
be you feel horribly depress and despondent about life and your future always know just what to say,sadness,sadness
their whole team be limit when they re on the field terrible,fear,fear
jk_rowling Donald Trump in the White House,fear,fear
be no dark side in the moon In fact it s all dark nGerry O Driscoll at the end of The Dark side of the Moon,sadness,sadness
and furious 6 this Monday 10 pm on mbc 2 ðŸ ðŸ ðŸ ðŸ ðŸ ðŸ ðŸ,anger,anger
nLikewise death cut,fear,fear
awe Thank you ðŸ ŠðŸ Š,fear,fear
I know if I wasn t an optimist I would despair,sadness,fear
as always it be indeed a wonderful experience fly with you guy today bestinbusiness happyme,joy,joy
mhchat Childhood experience inform adult relationships We have associative memories Not a question of ability to process sadness,sadness,sadness
IndyMN I think the holiday could not get any more cheerful and then I meet you TheNiceBot Ø Ù Ø Ù Ø ÙŠ,joy,joy
FOXTV do you use the warblers set from glee on the episode about the acapella college kid,joy,joy
take them an awfy long time to spot their goal be disallow â ºï,joy,joy
you wake up scroll through social media and another father be take from his child everyday KeithLamontScott,fear,fear
danmericaCNN HRC have the experience temperment knowledge amp ability to lead us in this perilous time,fear,fear
step into the shower and my spidey sense tangle I immediately look up and saw a spider directly above my head,fear,fear
have a fear of failure but no urge to be productive,fear,fear
do people get ta start so much drama Shoot me â ¹ï,anger,fear
love spring Of one dat sink his whole estate for d paltry bribe of a single appleâ n yet proud of our ancestry â ï ðŸ,sadness,sadness
the challenge so that you can feel the exhilaration of victory,joy,joy
Watch this amaze live ly broadcast by lively musically,joy,joy
he s just lucky bad pitchers WHATEVER ElKracken be legit future gottawearshades LetsGoYankees,fear,joy
happy bday bro ðŸ ŒðŸ,joy,joy
Oh come on RAW and ISI have be spy for decades Spying and support terrorism be two different thing,fear,fear
adviser to the European Unionâ s top court say Hamas and the Tamil Tigers should be take off the EUâ s terror list lka,fear,fear
I m not one to rush colder weather but this year I m so ready for hot coffee dark lippies scarves sweaters amp boot ðŸ ðŸ â ï ðŸ,sadness,sadness
Unmatched Party Specialist co serious job title,sadness,sadness
Whaat Oh hell no I be jealous because you get pay to fuck but this be a whole new level anger love conflictedðŸ,anger,anger
play Big River outside The Bridges in SR1,joy,anger
be you cheer for team Sweden today or team North American,joy,joy
Z and Brad Pitt cheat Bey stay Angie leave cheaters love lust sex couple relationships date marriage divorce,sadness,sadness
Opioid rapid pill plague Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US,anger,anger
let fear hold you back from be who you want to be Use it s power to push you towards your goals No more fear just action,fear,fear
an exhilarate last minute of overtime WCH2016,joy,joy
you look adorable awe,fear,fear
so gloomy today,sadness,sadness
feel it acceptable to bomb amp kill aid workers Soon he may be sit at the same table as Trump Armageddon USApleasedont,fear,fear
They will be a formidable challenge Roy Hodgson on Northampton Town shudder,fear,fear
friend just message me ugh I m so hungry I can t wait for breakfast socialmedia WineWednesday hilarious funny laugh happy,joy,joy
play yung fav song ni chavs sober ðŸ,sadness,sadness
yesnicksearcy Although I don t expect a trumpie to understand the difference between real things and pretend things,sadness,sadness
step into the shower and my spidey sense tangle I immediately look up and saw a spider directly above my head terror,fear,fear
start buy Death Wish Coffee and shake hand with espresso every now and then,fear,fear
worry about stop terrorism Well there s a really easy way stop participate in it Noam Chomsky,fear,fear
Dann injure aka my worst nightmare,fear,fear
stop watch gotham cause they drop off tabitha and barb s relationship and make her pine after the main,sadness,sadness
many be on their yeah the thing go on with cop shoot innocent people be sad but just not in my backyard so sad blm,sadness,sadness
be a gift that s why it s call the present happiness optimism entrepreneur personaldevelopment â,joy,joy
savemoney and savelifes your openbar weddingreception Close it 1 2 hours early force your guests to sober up before drive,sadness,sadness
hearty welcome to those who follow me,joy,joy
Gundlach call for round top doom and gloom 15 down move,sadness,sadness
a veteran just totally get me out of a ticket I m elate right now close call,joy,joy
OMG that s such a beautiful quote amwriting,joy,fear
it a rainy day be it cheerful sunshine I be a Prussian want nothing to be but a Prussian,joy,joy
that get deliver ðŸ ðŸ ŒðŸ,anger,joy
get so much fan s on here Y all and vixx keep me smile â â â,joy,joy
all chuck season she have that one bright spot with dan where she be allow to be smart and kind and fashionable,joy,joy
just finally start homefronttherevolution what do you all do the story and gameplay terrible wasteofmoney,fear,fear
horror in the dark and a loud creak door noise be come from the kitchen There be no doors there to creak WTF,sadness,fear
Yeah I win t mourn it but I m glad I ride it the last time I visit,sadness,sadness
have mess with my mind amp now I m anticipate the next episode with apprehension amp isthereahelplineforthis,fear,joy
guy I now do lessons via Skype Contact me for more info skype lesson basslessons teacher free lesson music groove rock blue,sadness,sadness
A plus point she win t have to queue for the loos Any more plus point Nope can t think of any shock sexism,fear,fear
literally Nicole already have her chance and she play shitty both season bitter,anger,anger
cheerful heart be good medicine but a crush spirit dry up the bone Proverbs 17 22,joy,joy
frustration look up at Elphaba in a frown of aggravation Her high pitch voice be grow more and more,sadness,sadness
chiropractor make me so,joy,joy
you realize there be NoHopeForHumanity so you just start focus on what s best for you,fear,fear
not use to get up early asf this shit goin irritate me,anger,anger
yall dont feel bad you be rejoice it be what itnis its always ColtsNation even when we have 6th string DBs play ðŸ ðŸ,joy,joy
all about redwine and,fear,joy
World know Pakistan be an epicentre of terror The pakistan speech in UN have define their agenda,fear,fear
sad song prefect night â feel alone,sadness,sadness
K be dead to me I hate your new slushie machine livid,fear,anger
Your stomach growl wake you up huh,anger,anger
vas a ir al de the amaity affliction,sadness,sadness
Charlotte and a friend just climb to the top of a windmill Think the view be easy breezy beautiful,joy,joy
a very Happy Birthday to our awesome dancer Ruthann We hope your day be magical bday eatcake,joy,joy
not afraid to love I m afraid of not be love back,fear,fear
more entertain and frighten than a bitter alcoholic try desperately to get your attention,anger,anger
have to find a way to top yourself glee,joy,joy
one extra mile just see her smile,joy,joy
Bk to 1 up top pack midfield Stifle any flair we possess kill any entertainers dull reshuffle predictable slow average,sadness,sadness
go the,fear,fear
direction play hale and hearty situation an in child s evolvement CMmyd,joy,joy
walk 3 4 miles today the most I ve walk since I get rhabdo Going back to work tomorrow here s to hop it go okay nervous,fear,fear
I offend you nif I be truthful but kind nor will you see why n baffle haikuchallenge,anger,anger
shock The decline of Rooney be a little embarrass really,fear,fear
why do the ticket website never work Trying to buy Palace ticket and it s impossible and say there s an error,fear,fear
I m beam with glee,joy,joy
gloomy,sadness,sadness
leave wing panic because Hillary be weak and they know it this be a revolution a movement nothings go to help the leave TrumpPence,fear,fear
always depress to sort WordPress plugin recommendations not by best but by least offensive in term of premium feature,sadness,sadness
shake like that,fear,fear
That s awesome p s ok what be the odds of that swap neighborhoods,fear,joy
blame yourself he speak as if she be in the room kick the chair beneath him n amwriting dark,sadness,sadness
cheerful sloth annotate old book about a very good man then the gods end evil,joy,joy
So excite to watch allstars n RuPaul revenge,anger,anger
tell me I look like Childish Gambino insult or compliment,anger,anger
the reason I smile everyday ðŸ,joy,joy
Away_Label_Not True Indeed Next time if these midnight hunger pangs worry you then you can order delicious roll from TRC via,fear,fear
Gerard finally make it up the stairs with a little huff his face a little more red than it be before Having little legs,anger,anger
King his action really sadden me today the word may not have the same power to all as it once do I still cringe when i hear it,sadness,sadness
CTV_PowerPlay Horrid disease My maternal grandmother and each of her sisters suffer from this affliction It s hard on all,sadness,sadness
honestly All I care about be Selasi not mess this up His lackadaisical attitude isn t good for danishes,sadness,sadness
I assure you there be no laughter but increase anger at the cost and arrogance of Westminster,anger,joy
Hey why can I only see 15 send email Where s the thousands go panic,fear,fear
most important characteristic of leadership be the lack of activism equity revolution,fear,fear
if teppu get animate by madhouse tho gt _ lt,joy,joy
See your primary care doctor They can prescribe meds and refer you to a psychiatrist for eval Don t mess with depression,sadness,sadness
some weeks there be no problems but this week be unbelievable be you guy even run regular 12 bus solate,fear,fear
My random guess for you A potential Amelie Kenneth of 30 Rock but YA instead of TV amp maybe w the optimism of Lara Jean,joy,joy
ohio state be terrible ohio be awful etc etc n nthese feel begin with the toldeo war n nso maybe don t campaign there,fear,fear
like if your unhappy just leave don t cheat on someone amp than up their view on love amp shit ðŸ,sadness,sadness
JoeShennan Meanwhile and I be get a 7 40am train I hope you really really enjoy that hotel Shennan,fear,anger
morning cheerfulness can be extremely obnoxious ALDUB62ndWeeksary,joy,joy
They ve officially say all the episodes leave so future 12 and despair 11 and 12 will be delay,sadness,sadness
spend over 2 fuck hours and still can t get that dam SIVA fragment on Fellwinters peak mountain angry,anger,anger
be so bad it s hilarious,joy,joy
GOT7Official happy birthday jin young PrinceJinyoungDay happyjinyoungday got7 happy birthday,joy,joy
go to get the weirdest thank you note or worse total silence and no acknowledgement,fear,fear
GriffinLaneP The Left have be protect so long they ve lose their reason power,sadness,sadness
will brawndo cure my depression Idiocracytoday,sadness,sadness
seem to alternate between sleep full and sleepless nights Tonight be a sleepless one ðŸ insomnia notfair,fear,fear
Obama must be fume lol,anger,anger
Watch this amaze live ly broadcast by musically,joy,joy
i pout i just want Adrian to appear and tell me to stop pout or else,sadness,anger
Oh noo nomorehammocks nightmare,fear,fear
annafifield all hand on deck at the post and in the msm as trump start to lead in oh fla NC NV CO,fear,fear
Has anyone notice that stories in recent days all paint positive accomplishments for Trump and challenge for Hillary surprise,sadness,sadness
correction 26 ppl Checked in Standing at the gate amp Flt 1449 take off without us furious,anger,anger
news fam life be still hard and awful depression atleastIhaveBuffy,sadness,fear
primarily on the person youâ re talk to rather than yourself and the impression youâ re make lessen social anxiety,fear,fear
tna for the first time in a long time what the hell happen to the hardyboys impactonpop wwe,fear,fear
People hate nothing more than a happy confident person Never mind happy confident,joy,joy
caffeine an sprightly lengthen into the corridor re seo WgJ,fear,joy
quite sure how Craig Gordon s stay on the park there,sadness,sadness
it s fuck dreadful for live footy match,fear,sadness
11 lbs since I get marry eat healthy amp ive go from a 9 47 mile to a 8 50 mile in 2 weeks areyousureimagedout fitness,fear,sadness
save him after order him to risk his life I didn t panic but stay calm and rescue him,fear,fear
twlldun bbcquestiontime JacobReesMogg leicesterliz normanlamb CarolineLucas Oh god not Brewer again The horror the horror,fear,fear
BIG thank you for like my little Pumpkin She s the smallest of my 4 but be very playful amp wake me up most mornings,joy,joy
Modern Proverb Don t let anyone intimidate you about be single most marriages end in divorce,fear,fear
both scrap ll the rage instead,anger,anger
How brave be the young individuals that have open up to us about their depression and anxiety to help raise awareness,sadness,sadness
jeremycorbyn magstogether my god be a full shill Seriously you need a major rethink or no lab gove in your lifetime,fear,sadness
After spend Â 450 I be offer a Â 5 voucher I ask if I could spend it at weekend Was tell no valid today only unhappy,sadness,sadness
